DATE,UNRATE,FEDFUNDS,GS10
2000-09-01,3.9,6.52,5.80
2000-10-01,3.9,6.51,5.74
2000-11-01,3.9,6.51,5.72
2000-12-01,3.9,6.40,5.24
2001-01-01,4.2,5.98,5.16
2001-02-01,4.2,5.49,5.10
2001-03-01,4.3,5.31,4.89
2001-04-01,4.4,4.8,5.14
2001-05-01,4.3,4.21,5.39
2001-06-01,4.5,3.97,5.28
2001-07-01,4.6,3.77,5.24
2001-08-01,4.9,3.65,4.97
2001-09-01,5.0,3.07,4.73
2001-10-01,5.3,2.49,4.57
2001-11-01,5.5,2.09,4.65
2001-12-01,5.7,1.82,5.09
2002-01-01,5.7,1.73,5.04
2002-02-01,5.7,1.74,4.91
2002-03-01,5.7,1.73,5.28
2002-04-01,5.9,1.75,5.21
2002-05-01,5.8,1.75,5.16
2002-06-01,5.8,1.75,4.93
2002-07-01,5.8,1.73,4.65
2002-08-01,5.7,1.74,4.26
2002-09-01,5.7,1.75,3.87
2002-10-01,5.7,1.75,3.94
2002-11-01,5.9,1.34,4.05
2002-12-01,6.0,1.24,4.03
2003-01-01,5.8,1.24,4.05
2003-02-01,5.9,1.26,3.90
2003-03-01,5.9,1.25,3.81
2003-04-01,6.0,1.26,3.96
2003-05-01,6.1,1.26,3.57
2003-06-01,6.3,1.22,3.33
2003-07-01,6.2,1.01,3.98
2003-08-01,6.1,1.03,4.45
2003-09-01,6.1,1.01,4.27
2003-10-01,6.0,1.01,4.29
2003-11-01,5.8,1.00,4.30
2003-12-01,5.7,0.98,4.27
2004-01-01,5.7,1.00,4.15
2004-02-01,5.6,1.01,4.08
2004-03-01,5.8,1.00,3.83
2004-04-01,5.6,1.00,4.35
2004-05-01,5.6,1.00,4.72
2004-06-01,5.6,1.03,4.73
2004-07-01,5.5,1.26,4.50
2004-08-01,5.4,1.43,4.28
2004-09-01,5.4,1.61,4.13
2004-10-01,5.5,1.76,4.10
2004-11-01,5.4,1.93,4.19
2004-12-01,5.4,2.16,4.23
2005-01-01,5.3,2.28,4.22
2005-02-01,5.4,2.50,4.17
2005-03-01,5.2,2.63,4.50
2005-04-01,5.2,2.79,4.34
2005-05-01,5.1,3.00,4.14
2005-06-01,5.0,3.04,4.00
2005-07-01,5.0,3.26,4.18
2005-08-01,4.9,3.50,4.26
2005-09-01,5.0,3.62,4.20
2005-10-01,5.0,3.78,4.46
2005-11-01,5.0,4.00,4.54
2005-12-01,4.9,4.16,4.47
2006-01-01,4.7,4.29,4.42
2006-02-01,4.8,4.49,4.57
2006-03-01,4.7,4.59,4.72
2006-04-01,4.7,4.79,4.99
2006-05-01,4.6,4.94,5.11
2006-06-01,4.6,4.99,5.11
2006-07-01,4.7,5.24,5.09
2006-08-01,4.7,5.25,4.88
2006-09-01,4.5,5.25,4.72
2006-10-01,4.4,5.25,4.73
2006-11-01,4.5,5.25,4.60
2006-12-01,4.4,5.24,4.56
2007-01-01,4.6,5.25,4.76
2007-02-01,4.5,5.26,4.72
2007-03-01,4.4,5.26,4.56
2007-04-01,4.5,5.25,4.69
2007-05-01,4.4,5.25,4.75
2007-06-01,4.6,5.25,5.10
2007-07-01,4.7,5.26,5.00
2007-08-01,4.6,5.02,4.67
2007-09-01,4.7,4.94,4.52
2007-10-01,4.7,4.76,4.53
2007-11-01,4.7,4.49,4.15
2007-12-01,5.0,4.24,4.10
2008-01-01,5.0,3.94,3.74
2008-02-01,4.9,2.98,3.74
2008-03-01,5.1,2.61,3.51
2008-04-01,5.0,2.28,3.68
2008-05-01,5.4,1.98,3.88
2008-06-01,5.6,2.00,4.10
2008-07-01,5.8,2.01,4.01
2008-08-01,6.1,2.00,3.89
2008-09-01,6.1,1.81,3.69
2008-10-01,6.5,0.97,3.81
2008-11-01,6.8,0.39,3.53
2008-12-01,7.3,0.16,2.42
2009-01-01,7.8,0.15,2.52
2009-02-01,8.3,0.22,2.87
2009-03-01,8.7,0.18,2.82
2009-04-01,9.0,0.15,2.93
2009-05-01,9.4,0.18,3.29
2009-06-01,9.5,0.21,3.72
2009-07-01,9.5,0.16,3.56
2009-08-01,9.6,0.16,3.59
2009-09-01,9.8,0.15,3.40
2009-10-01,10.0,0.12,3.39
2009-11-01,9.9,0.12,3.40
2009-12-01,9.9,0.12,3.59
2010-01-01,9.8,0.11,3.73
2010-02-01,9.8,0.13,3.69
